method,mode,global_peak_frequency_hz,stable_10deg_median_rms_nm,stable_43deg_median_rms_nm,moving_median_rms_nm,stable_43_to_10_rms_ratio,moving_to_stable_rms_ratio,previous_10deg_median_rms_nm,late_10deg_median_rms_nm,late_to_previous_10deg_rms_ratio,angle_transition_sensitive,angle_state_sensitive,late_cycle_shift,behavior_candidates,interpretation_limit
STVMD,IMF7,59.94871349095966,0.012837592053585,0.01467183615681565,0.01477249122712865,1.142880697219084,1.0614407943454451,0.012064341694973849,0.01482919029507245,1.2291752563051326,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
AVMD,IMF5,59.97479137691238,0.0153447053720271,0.0228502635737379,0.01477202580880665,1.4891301605173115,0.7790152187709206,0.014309236411253225,0.0201929997043699,1.411186392062765,True,True,True,"angle_transition_sensitive,angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
IOVMD,IMF8,59.97479137691238,0.0141647995751985,0.0223451691387104,0.017029201747875297,1.5775139648170355,0.9135683057389341,0.013129040994098225,0.018125708988972748,1.3805813385090595,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
STVMD,IMF6,59.97479137691238,0.0146349976932135,0.022865443737680152,0.01941565535297935,1.5623810961229534,0.9850029065301013,0.013384245891864925,0.0191011117728427,1.4271339548873818,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
SVMD,IMF7,59.97479137691238,0.0190773255478758,0.028328195735208853,0.02208436487953835,1.4849144165473855,0.904704461791869,0.01760364304272497,0.02395370656352265,1.3607243969549618,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
VMD,IMF7,59.97479137691238,0.013182745052121,0.02027459988071225,0.01197384275509875,1.5379649534714992,0.7268073149116817,0.012113021101358177,0.0179691738737959,1.4834593057697862,True,True,True,"angle_transition_sensitive,angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
IOVMD,IMF9,72.63125869262865,0.0122349247745456,0.0148084327303828,0.01455530437508865,1.210341134355892,1.0572120906039744,0.01151282296598875,0.0151532278383785,1.3162043647456374,False,False,True,late_cycle_shift,behavioral association only; not a component or fault label
SVMD,IMF8,72.63125869262865,0.0109523459139617,0.0139666634924027,0.0122221130057871,1.2752211811168381,0.9731180606160484,0.010105390097499774,0.0135924407126853,1.3450683824712493,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
VMD,IMF8,72.63125869262865,0.0121851847930278,0.01476647828477895,0.01472346508038995,1.2118386824324456,1.0772955069719345,0.01138151286899245,0.015087804181999849,1.325641358549481,False,False,True,late_cycle_shift,behavioral association only; not a component or fault label
AVMD,IMF6,80.04607093184978,0.0426886804126384,0.04579245810787035,0.0435385487711702,1.0727072766182955,0.9847237188017169,0.04183625187148012,0.04647372805848575,1.1108482710461631,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
IOVMD,IMF10,80.04607093184978,0.0417860628436462,0.0436794990798222,0.04182643108115955,1.0453126259648,0.9838992729707152,0.04099363633232837,0.0453413245920972,1.1060576384227694,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
STVMD,IMF8,80.04607093184978,0.0418314373968022,0.0436597934198439,0.04175505456538025,1.0437077025515082,0.9831832326327948,0.041069623053358276,0.04532311290560925,1.10356778407059,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
SVMD,IMF9,80.04607093184978,0.0426504611430514,0.045926699247341995,0.0430700125033765,1.0768160065913877,0.971386709315039,0.04175783862826575,0.046458383478624105,1.1125667660197414,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
VMD,IMF9,80.04607093184978,0.0417606909945455,0.0436208049208242,0.0417818957875416,1.0445422209733413,0.9843392412427252,0.04097606203000935,0.04531515929172135,1.105893466740019,False,False,False,relatively_stable_mode,behavioral association only; not a component or fault label
AVMD,IMF7,90.29468011126563,0.0256086870815213,0.01981020452438015,0.02028917578240195,0.7735736104438798,0.9469367736337163,0.027384707596446525,0.02032447934343325,0.7421835442957374,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
IOVMD,IMF11,90.29468011126563,0.0240349784694114,0.0159443993769791,0.01851887996420895,0.6633831354278479,1.0390369017387266,0.026070591637979274,0.0182482867531714,0.6999567561246824,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
SVMD,IMF10,90.29468011126563,0.0229085517316144,0.017265677325432903,0.018150195480908952,0.7536782563869217,0.9668927556528281,0.024479710468602426,0.0180396391919955,0.7369220814573318,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
VMD,IMF10,90.29468011126563,0.0240235707568666,0.015921598881814,0.0185056674808261,0.6627490577046302,1.0401025068558716,0.0260542583649001,0.0182222467495379,0.6993961023310676,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
STVMD,IMF9,90.49461057023645,0.0233929805983907,0.014213092989749699,0.01764889828930825,0.6075793945952891,1.0667175705085168,0.025716749867278677,0.0178739498103885,0.6950314445889872,False,True,True,"angle_state_sensitive,late_cycle_shift",behavioral association only; not a component or fault label
STVMD,IMF10,97.83988178025034,0.0081030739193595,0.012144835212865551,0.008040919553832699,1.498793585462589,0.8824647317583366,0.0081410996741006,0.00831786512939495,1.0217127246158735,False,True,False,angle_state_sensitive,behavioral association only; not a component or fault label
